
[0:00]  Agents are the new apps.
  [0.70 - 1.10] Agents
  [1.10 - 1.44] are
  [1.44 - 2.14] the
  [2.14 - 2.34] new
  [2.34 - 2.66] apps.

[0:03]  And we expect someday for there to be thousands of agents available.
  [3.86 - 4.26] And
  [4.26 - 4.40] we
  [4.40 - 4.64] expect
  [4.64 - 5.14] someday
  [5.14 - 5.58] for
  [5.58 - 5.72] there
  [5.72 - 5.88] to
  [5.88 - 5.98] be
  [5.98 - 6.54] thousands
  [6.54 - 6.80] of
  [6.80 - 7.06] agents
  [7.06 - 7.46] available.

[0:07]  We want a thousand agents to bloom.
  [7.64 - 7.70] We
  [7.70 - 7.88] want
  [7.88 - 8.06] a
  [8.06 - 8.56] thousand
  [8.56 - 8.92] agents
  [8.92 - 9.10] to
  [9.10 - 9.30] bloom.

[0:09]  So I think we're going to live in a world where there are going to be hundreds of millions
  [9.70 - 9.86] So
  [9.86 - 9.96] I
  [9.96 - 10.04] think
  [10.04 - 10.18] we're
  [10.18 - 10.28] going
  [10.28 - 10.30] to
  [10.30 - 10.42] live
  [10.42 - 10.52] in
  [10.52 - 10.56] a
  [10.56 - 10.76] world
  [10.76 - 10.92] where
  [10.92 - 11.02] there
  [11.02 - 11.08] are
  [11.08 - 11.18] going
  [11.18 - 11.22] to
  [11.22 - 11.32] be
  [11.32 - 12.10] hundreds
  [12.10 - 12.30] of
  [12.30 - 12.54] millions

[0:12]  of billions of different AI agents.
  [12.54 - 12.80] of
  [12.80 - 13.32] billions
  [13.32 - 13.60] of
  [13.60 - 13.86] different
  [13.86 - 14.00] AI
  [14.00 - 14.48] agents.

[0:15]  Eventually, probably more AI agents than there are people in the world.
  [15.06 - 15.46] Eventually,
  [15.48 - 15.78] probably
  [15.78 - 16.00] more
  [16.00 - 16.26] AI
  [16.26 - 16.70] agents
  [16.70 - 16.92] than
  [16.92 - 17.02] there
  [17.02 - 17.12] are
  [17.12 - 17.42] people
  [17.42 - 17.56] in
  [17.56 - 17.64] the
  [17.64 - 17.94] world.

[0:18]  For the very first time, this is going to be an industry of skills.
  [18.16 - 18.24] For
  [18.24 - 18.30] the
  [18.30 - 18.42] very
